Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,596919090,652039994,997036341,1241221027,2198127769,3124863397,2738742187,4371208578,6626185393,11258913871,14584526254,21413201814,25242167693,25953890285,24207438455,30316877851,33271256646,52034176672,84960160286,60303558927,68694636530,60927122152,76023683286,88179695572,1.04392E+11,1.16367E+11,1.49837E+11,1.49489E+11,1.34167E+11
Christmas Island,0,0,17938,0,47076,0,0,92301,0,10946,45916,22833,61584,2522,174521,32105,55100,0,0,13049,15680,18023,0,2842,57993,5989,20619,21683,0
Cocos (Keeling) Islands,0,0,0,3901,7290,0,0,0,0,0,0,29626,42176,220346,2892,64986,0,80155,64867,180709,4214,29961,5607,55502,24249,155556,1286559,1321,0
Colombia,75322,218921,273119,844960,257562,451602,363515,1231192,383658,1447909,827774,1032051,960497,4767206,13916037,4415548,4132542,5015699,9933626,16460363,25256102,27537312,25457754,24602906,54547515,59812312,46997727,73114627,89980683
Comoros,0,0,1542,0,224916,0,0,2269,24866,7234,0,30186,2214,22035,1059,0,8597,0,0,0,0,3994,3406,18624,0,2147,0,0,0
Cook Islands,0,0,7805,0,352359,0,0,19079,1477,14456,20521,76526,28655,110351,22090,7502,36345,0,0,20573,99759,16565,35973,0,1758,0,34314,2874,0
Costa Rica,1343593,2237995,8318848,528854747,112948899,212467793,246869211,728027851,904571569,635599860,1078356433,1367746602,1704580118,1170807618,1330961731,1455482878,2327345614,3166820217,2870409369,1968708733,235017120,243919389,90945122,72695757,46467272,661365395,1375466735,482689838,219793298
Croatia,237598,432026,752203,1112621,1449250,1280043,1506865,2811420,3746684,5450921,6432639,6298160,7722323,6517995,5322439,5059868,6194778,5004817,9209751,7287525,8503071,9733301,8067640,8736222,14361526,7241222,10502404,11480425,9675155
Cuba,0,244325,115680,8588,241250,65859,128413,986684,198851,2081350,2845494,2632829,2190202,369260,115458,164765,213851,2402117,340366,160524,149191,2750300,2617872,2449356,2374208,2336479,1481052,1265781,31554
Cura?ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445158,142198,156911,128899,19117,472554,104543,56715,299893,594239,474581,461249,931571
Cyprus,246086,465636,1213234,397225,343775,1096589,1525942,897466,1974891,8176711,3783664,16698642,17690059,6415717,2422776,11479484,8661568,8020555,9779265,4955538,3616108,635149,1503309,8372304,1248787,1640467,4700188,8039476,23030544
Czechia,49866432,53540013,55212064,95531690,71849258,116724416,202596744,236336580,183708995,245228708,426751907,558391138,593074293,757278276,723278501,956666168,1285234533,1250939443,1103394989,982620451,1119311701,1275134872,825413755,895725875,1012827132,1244618102,1318788922,1204347243,1120773600
C?te d'Ivoire,2654098,72950,72529,116182,80930,135197,61743,25030,435501,66273,196542,1231224,495118,572605,405628,516744,409721,108756,75431,295988,111768,234153,299026,922048,378762,115183,227574,2334913,1620718
Democratic Republic of the Congo,3812,0,8288,67016,43070,176298,47720,195139,92668,10117,39664,195143,119475,22246,68746,1074,8772,19383,24282,4695,41311,45191,6183,8771,23048,17873,28682,104406,84921
Denmark,34083818,51581754,77394351,114691367,102680037,152469836,155449740,169423061,122361368,145793089,126268694,110299477,247327709,161171380,112404907,129452024,149573077,136951721,156775454,220725825,186094200,204864528,224286706,239067427,223519022,226440189,284567030,302610229,253118270
Djibouti,0,0,0,0,0,50299,4533,68807,0,0,0,21077,0,0,0,778189,0,32174,0,0,0,0,25750,23689,42609,0,484449,58923,436284
Dominica,16170,60952,104846,233095,209625,254247,24887,28180,12899,33931,37142,37575,28612,16909,60390,235958,21616,14281,171542,0,0,18582,0,15022,0,3382,10048,31116,79657
